Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Adj Close
1999-08-16,19.02262424808715,19.104398022393813,18.99195908272215,19.05328941345215,38800,0.0,0.0,0.0,19.05328941345215
1999-08-17,19.216840229337176,19.31905746459961,19.135066441127233,19.31905746459961,2700,0.0,0.0,0.0,19.31905746459961
1999-08-18,19.13506507873535,19.1861736927277,19.104399910339943,19.13506507873535,5300,0.0,0.0,0.0,19.13506507873535
1999-08-19,18.889739990234375,18.920405152556185,18.76707934094714,18.889739990234375,4200,0.0,0.0,0.0,18.889739990234375
1999-08-20,19.02262162779127,19.15550399273554,19.02262162779127,19.083951950073242,2800,0.0,0.0,0.0,19.083951950073242
1999-08-23,19.298609941119476,19.523487811196084,19.298609941119476,19.492822647094727,14900,0.0,0.0,0.0,19.492822647094727
1999-08-24,19.564378282558994,19.62570862200275,19.482604496633982,19.503047943115234,32700,0.0,0.0,0.0,19.503047943115234
1999-08-25,19.503035371818957,19.77902172142017,19.503035371818957,19.71769142150879,33800,0.0,0.0,0.0,19.71769142150879
1999-08-26,19.73814489991793,19.73814489991793,19.6154842376709,19.6154842376709,15800,0.0,0.0,0.0,19.6154842376709
1999-08-27,19.543927906058496,19.543927906058496,19.37015867258413,19.390602111816406,6300,0.0,0.0,0.0,19.390602111816406
1999-08-30,19.308826400113144,19.308826400113144,18.89995765686035,18.89995765686035,7200,0.0,0.0,0.0,18.89995765686035
1999-08-31,18.899956709876683,18.98173045442996,18.84884811953088,18.94084358215332,2800,0.0,0.0,0.0,18.94084358215332
1999-09-01,19.00217270620159,19.0532812933619,18.879512097016857,18.99195098876953,6800,0.0,0.0,0.0,18.99195098876953
1999-09-02,18.828414916992188,18.869301811491628,18.756862851618166,18.828414916992188,10700,0.0,0.0,0.0,18.828414916992188
1999-09-03,19.21683715270446,19.288389205932617,19.206615430814725,19.288389205932617,11000,0.0,0.0,0.0,19.288389205932617
1999-09-07,19.28839175506208,19.503047943115234,19.28839175506208,19.503047943115234,24400,0.0,0.0,0.0,19.503047943115234
1999-09-08,19.441719952048178,19.62571099260384,19.441719952048178,19.564380645751953,2900,0.0,0.0,0.0,19.564380645751953
1999-09-09,19.625704795435855,19.656369959178722,19.4212703704834,19.4212703704834,12800,0.0,0.0,0.0,19.4212703704834
1999-09-10,19.42126583612689,19.50303958701584,19.37015724182129,19.37015724182129,3400,0.0,0.0,0.0,19.37015724182129
1999-09-13,19.206618777999594,19.2577273963551,19.145288435972983,19.227062225341797,7500,0.0,0.0,0.0,19.227062225341797
1999-09-14,19.002180804510484,19.145284909547144,19.002180804510484,19.05328941345215,1700,0.0,0.0,0.0,19.05328941345215
1999-09-15,19.23727775577817,19.23727775577817,19.053286788932255,19.083951950073242,21200,0.0,0.0,0.0,19.083951950073242
1999-09-16,18.92041612367372,18.971524757179054,18.81819885666306,18.910194396972656,13100,0.0,0.0,0.0,18.910194396972656
1999-09-17,19.00702798525323,19.22208595275879,19.00702798525323,19.22208595275879,7400,0.054,0.0,0.0,19.22208595275879
1999-09-20,19.211840687945145,19.26304495417101,19.109432155493412,19.242563247680664,9600,0.0,0.0,0.0,19.242563247680664
1999-09-21,19.017267827653498,19.11967637815244,18.894377567054768,18.99678611755371,14600,0.0,0.0,0.0,18.99678611755371
1999-09-22,18.9660596254389,19.037745595945417,18.89437365493238,18.93533706665039,15600,0.0,0.0,0.0,18.93533706665039
1999-09-23,18.945578582414235,18.945578582414235,18.730520663370612,18.78172492980957,9600,0.0,0.0,0.0,18.78172492980957
1999-09-24,18.494994668774616,18.525717251280888,18.29017745206615,18.38234519958496,119800,0.0,0.0,0.0,18.38234519958496
1999-09-27,18.433531204072555,18.61786651611328,18.433531204072555,18.61786651611328,24300,0.0,0.0,0.0,18.61786651611328
1999-09-28,18.474506892180923,18.494988607138993,18.167281167809843,18.392580032348633,111500,0.0,0.0,0.0,18.392580032348633
1999-09-29,18.351615491763567,18.648600340681615,18.351615491763567,18.49498748779297,44000,0.0,0.0,0.0,18.49498748779297
1999-09-30,18.505225751710974,18.84317398071289,18.505225751710974,18.84317398071289,142800,0.0,0.0,0.0,18.84317398071289
1999-10-01,18.699798052238695,18.699798052238695,18.576907813122123,18.587148666381836,2000,0.0,0.0,0.0,18.587148666381836
1999-10-04,18.710040778680046,18.925098718664874,18.710040778680046,18.914857864379883,7300,0.0,0.0,0.0,18.914857864379883
1999-10-05,18.832929079068307,18.996782730653457,18.720279693603516,18.720279693603516,39200,0.0,0.0,0.0,18.720279693603516
1999-10-06,18.894372171568637,19.05822580557682,18.884131319443128,18.986539840698242,12100,0.0,0.0,0.0,18.986539840698242
1999-10-07,19.04798818045649,19.140155865200633,18.99678391115419,19.00702476501465,4300,0.0,0.0,0.0,19.00702476501465
1999-10-08,19.05823107287961,19.344975011644053,19.05823107287961,19.26304817199707,102600,0.0,0.0,0.0,19.26304817199707
1999-10-11,19.170872001890924,19.32448475831633,19.170872001890924,19.29376220703125,4300,0.0,0.0,0.0,19.29376220703125
1999-10-12,19.078706359863283,19.099188062879776,18.812444220648874,18.894371032714844,6100,0.0,0.0,0.0,18.894371032714844
1999-10-13,18.761230392158197,18.812434623577843,18.351596540801033,18.36183738708496,25600,0.0,0.0,0.0,18.36183738708496
1999-10-14,18.269675043670222,18.331120139108577,17.993172114197638,18.177507400512695,4500,0.0,0.0,0.0,18.177507400512695
1999-10-15,17.829325849260602,18.105828892299108,17.788362435477122,17.921493530273438,27600,0.0,0.0,0.0,17.921493530273438
1999-10-18,17.788363059917533,17.9112533055819,17.573305130004883,17.573305130004883,261100,0.0,0.0,0.0,17.573305130004883
1999-10-19,17.829326171963867,17.941975561907352,17.563063977552,17.583545684814453,202900,0.0,0.0,0.0,17.583545684814453
1999-10-20,17.737154006958008,17.798599113217676,17.71667230487145,17.737154006958008,3500,0.0,0.0,0.0,17.737154006958008
1999-10-21,17.675704962735416,17.675704962735416,17.358238651121976,17.542573928833008,209500,0.0,0.0,0.0,17.542573928833008
1999-10-22,17.788367315338984,18.126315571761662,17.757644746573288,18.0136661529541,14900,0.0,0.0,0.0,18.0136661529541
1999-10-25,17.95221430185444,18.003418563981807,17.778119810621398,17.98293685913086,10800,0.0,0.0,0.0,17.98293685913086
1999-10-26,17.952209926266384,18.09558182527821,17.860042276901638,17.870283126831055,5800,0.0,0.0,0.0,17.870283126831055
1999-10-27,17.860044312708585,17.931730270385742,17.737154099547748,17.931730270385742,42900,0.0,0.0,0.0,17.931730270385742
1999-10-28,18.197995779568892,18.351608574556813,18.146791514572918,18.341367721557617,8100,0.0,0.0,0.0,18.341367721557617
1999-10-29,18.464259090423585,18.587149333953857,18.423295675913494,18.433536529541016,20500,0.0,0.0,0.0,18.433536529541016
1999-11-01,18.36185095709841,18.36185095709841,17.96245765686035,17.96245765686035,3100,0.0,0.0,0.0,17.96245765686035
1999-11-02,18.146784559026496,18.372083238653236,18.12630286087861,18.187747955322266,25700,0.0,0.0,0.0,18.187747955322266
1999-11-03,18.187761112135284,18.187761112135284,18.064870834350586,18.064870834350586,8400,0.0,0.0,0.0,18.064870834350586
1999-11-04,18.187760709293055,18.290169271845382,17.93173930291224,18.0136661529541,17800,0.0,0.0,0.0,18.0136661529541
1999-11-05,18.1058292388916,18.259442043520206,18.064865824323974,18.1058292388916,88600,0.0,0.0,0.0,18.1058292388916
1999-11-08,18.0136625601167,18.136552810668945,18.0136625601167,18.136552810668945,4000,0.0,0.0,0.0,18.136552810668945
